app,name,compiler,cycles
omp_parallel_for_benchmark,Sequqntial Duration,llvm,17
omp_parallel_for_benchmark,OpenMP Parallel Duration,llvm,27017
omp_parallel_for_benchmark,OpenMP Unrolled Parallel Duration,llvm,14394
barrier_benchmark,1 barriers,llvm,75
barrier_benchmark,2 barriers,llvm,168
barrier_benchmark,3 barriers,llvm,247
barrier_benchmark,4 barriers,llvm,330
barrier_benchmark,5 barriers,llvm,411
barrier_benchmark,6 barriers,llvm,490
barrier_benchmark,7 barriers,llvm,571
barrier_benchmark,8 barriers,llvm,654
barrier_benchmark,9 barriers,llvm,735
barrier_benchmark,10 barriers,llvm,815
barrier_benchmark,11 barriers,llvm,897
barrier_benchmark,12 barriers,llvm,974
barrier_benchmark,13 barriers,llvm,1057
barrier_benchmark,14 barriers,llvm,1139
barrier_benchmark,15 barriers,llvm,1217
barrier_benchmark,16 barriers,llvm,1299
critical_benchmark,Manual Critical Duration,llvm,49
critical_benchmark,OMP Critical Duration,llvm,97
master_benchmark,Manual Master Duration,llvm,7
master_benchmark,OMP Master Duration,llvm,60
omp_parallel_for_dynamic_benchmark,Sequqntial Duration,llvm,144580
reduction_benchmark,Sequential Duration,llvm,2072
reduction_benchmark,Manual Parallel1 Duration,llvm,13880
reduction_benchmark,Manual Parallel2 Duration,llvm,19877
reduction_benchmark,OMP Static Duration,llvm,2556
reduction_benchmark2,Static duration with 1 elements,llvm,2431
reduction_benchmark2,Static duration with 2 elements,llvm,2095
reduction_benchmark2,Static duration with 4 elements,llvm,2023
reduction_benchmark2,Static duration with 8 elements,llvm,2044
reduction_benchmark2,Static duration with 16 elements,llvm,2022
reduction_benchmark2,Static duration with 32 elements,llvm,2125
reduction_benchmark2,Static duration with 64 elements,llvm,2117
reduction_benchmark2,Static duration with 128 elements,llvm,2159
reduction_benchmark2,Static duration with 256 elements,llvm,2310
reduction_benchmark2,Static duration with 512 elements,llvm,2462
reduction_benchmark2,Static duration with 1024 elements,llvm,2826
reduction_benchmark2,Static duration with 2048 elements,llvm,3638
reduction_benchmark2,Static duration with 4096 elements,llvm,5171
reduction_benchmark2,Static duration with 8192 elements,llvm,8223
single_benchmark,Manual Single Duration,llvm,149
single_benchmark,OMP Single Duration,llvm,114
barrier_benchmark,1 barriers,gcc,179
barrier_benchmark,2 barriers,gcc,229
barrier_benchmark,3 barriers,gcc,324
barrier_benchmark,4 barriers,gcc,422
barrier_benchmark,5 barriers,gcc,541
barrier_benchmark,6 barriers,gcc,642
barrier_benchmark,7 barriers,gcc,760
barrier_benchmark,8 barriers,gcc,868
barrier_benchmark,9 barriers,gcc,967
barrier_benchmark,10 barriers,gcc,1067
barrier_benchmark,11 barriers,gcc,1187
barrier_benchmark,12 barriers,gcc,1294
barrier_benchmark,13 barriers,gcc,1396
barrier_benchmark,14 barriers,gcc,1505
barrier_benchmark,15 barriers,gcc,1610
barrier_benchmark,16 barriers,gcc,1722
critical_benchmark,Manual Critical Duration,gcc,74
critical_benchmark,OMP Critical Duration,gcc,127
master_benchmark,Manual Master Duration,gcc,16
master_benchmark,OMP Master Duration,gcc,36
omp_parallel_for_benchmark,Manual Parallel Duration,gcc,23695
omp_parallel_for_benchmark,Manual unrolled Parallel Duration,gcc,9164
omp_parallel_for_benchmark,Sequqntial Duration,gcc,3
omp_parallel_for_benchmark,OpenMP Parallel Duration,gcc,24306
omp_parallel_for_benchmark,OpenMP Unrolled Parallel Duration,gcc,9574
omp_parallel_for_dynamic_benchmark,Sequqntial Duration,gcc,138645
omp_parallel_for_dynamic_benchmark,Static Duration,gcc,43859
omp_parallel_for_dynamic_benchmark,Dynamic Duration,gcc,22878
reduction_benchmark,OMP Static Duration,gcc,711
reduction_benchmark2,Static duration with 1 elements,gcc,610
reduction_benchmark2,Static duration with 2 elements,gcc,523
reduction_benchmark2,Static duration with 4 elements,gcc,441
reduction_benchmark2,Static duration with 8 elements,gcc,408
reduction_benchmark2,Static duration with 16 elements,gcc,411
reduction_benchmark2,Static duration with 32 elements,gcc,423
reduction_benchmark2,Static duration with 64 elements,gcc,447
reduction_benchmark2,Static duration with 128 elements,gcc,491
reduction_benchmark2,Static duration with 256 elements,gcc,568
reduction_benchmark2,Static duration with 512 elements,gcc,765
reduction_benchmark2,Static duration with 1024 elements,gcc,1120
reduction_benchmark2,Static duration with 2048 elements,gcc,1817
reduction_benchmark2,Static duration with 4096 elements,gcc,3329
reduction_benchmark2,Static duration with 8192 elements,gcc,6018
single_benchmark,Manual Single Duration,gcc,124
single_benchmark,OMP Single Duration,gcc,1154
